Map,Player,Team,Agent,Overall VLR Rating,Overall ACS,Overall Kills,Overall Deaths,Overall Assists,Overall +/-,Overall KAST,Overall ADR,Overall HS%,Overall First Kills,Overall First Deaths,Overall First Blood +/-,Attack VLR Rating,Attack ACS,Attack Kills,Attack Deaths,Attack Assists,Attack +/-,Attack KAST,Attack ADR,Attack HS%,Attack First Kills,Attack First Deaths,Attack First Blood +/-,Defense VLR Rating,Defense ACS,Defense Kills,Defense Deaths,Defense Assists,Defense +/-,Defense KAST,Defense ADR,Defense HS%,Defense First Kills,Defense First Deaths,Defense First Blood +/-,Map Result,Rounds Won,Rounds Lost,Total Rounds,Attack Rounds Won,Attack Rounds Lost,Total Attack Rounds,Defense Rounds Won,Defense Rounds Lost,Total Defense Rounds,Attack Half Rounds Won,Attack Half Rounds Lost,Total Attack Half Rounds,Defense Half Rounds Won,Defense Half Rounds Lost,Total Defense Half Rounds,Overtime Attack Rounds Won,Overtime Attack Rounds Lost,Total Overtime Attack Rounds,Overtime Defense Rounds Won,Overtime Defense Rounds Lost,Total Overtime Defense Rounds,Overtime Rounds Won,Overtime Rounds Lost,Total Overtime Rounds
Ascent,tex,LEV,cypher,0.83,172,16,17,1,-1,57%,108,30%,0,2,-2,0.66,159,6,10,0,-4,27%,102,47%,0,2,-2,0.99,185,10,7,1,3,83%,113,21%,0,0,0,Loss,10,13,23,3,8,11,7,5,12,3,8,11,7,5,12,0,0,0,0,0,0,0,0,0
Ascent,Okeanos,LEV,kayo,0.59,109,7,18,14,-11,65%,74,32%,2,2,0,0.36,61,2,10,3,-8,45%,31,40%,1,0,1,0.8,154,5,8,11,-3,83%,114,30%,1,2,-1,Loss,10,13,23,3,8,11,7,5,12,3,8,11,7,5,12,0,0,0,0,0,0,0,0,0
Ascent,kiNgg,LEV,omen,0.55,87,8,16,8,-8,57%,60,35%,2,3,-1,0.52,75,3,9,2,-6,36%,63,50%,0,0,0,0.57,100,5,7,6,-2,75%,57,25%,2,3,-1,Loss,10,13,23,3,8,11,7,5,12,3,8,11,7,5,12,0,0,0,0,0,0,0,0,0
Ascent,lukxo,LOUD,cypher,1.5,280,24,13,4,11,78%,176,36%,6,1,5,1.17,223,9,9,1,0,67%,137,26%,3,0,3,1.86,344,15,4,3,11,91%,219,43%,3,1,2,Win,13,10,23,5,7,12,8,3,11,5,7,12,8,3,11,0,0,0,0,0,0,0,0,0
Ascent,Virtyy,LOUD,jett,1.37,255,19,12,7,7,74%,158,24%,7,4,3,1.01,208,8,9,3,-1,58%,141,35%,3,3,0,1.77,306,11,3,4,8,91%,176,11%,4,1,3,Win,13,10,23,5,7,12,8,3,11,5,7,12,8,3,11,0,0,0,0,0,0,0,0,0
Ascent,cauanzin,LOUD,kayo,0.93,191,15,16,10,-1,61%,131,25%,1,2,-1,0.55,156,6,11,3,-5,42%,104,21%,0,2,-2,1.34,231,9,5,7,4,82%,161,30%,1,0,1,Win,13,10,23,5,7,12,8,3,11,5,7,12,8,3,11,0,0,0,0,0,0,0,0,0
Ascent,RobbieBk,LOUD,sova,0.86,128,12,13,4,-1,74%,88,33%,0,0,0,0.8,106,5,8,3,-3,58%,80,55%,0,0,0,0.92,152,7,5,1,2,91%,98,21%,0,0,0,Win,13,10,23,5,7,12,8,3,11,5,7,12,8,3,11,0,0,0,0,0,0,0,0,0
Ascent,pANcada,LOUD,omen,0.63,131,10,16,6,-6,74%,89,39%,0,2,-2,0.57,145,6,10,2,-4,67%,97,54%,0,1,-1,0.69,118,4,6,4,-2,82%,79,27%,0,1,-1,Win,13,10,23,5,7,12,8,3,11,5,7,12,8,3,11,0,0,0,0,0,0,0,0,0
Icebox,kiNgg,LEV,viper,1.57,279,21,14,7,7,88%,179,29%,0,1,-1,1.72,331,12,8,3,4,92%,208,32%,0,1,-1,1.41,229,9,6,4,3,83%,150,24%,0,0,0,Loss,11,13,24,4,8,12,7,5,12,4,8,12,7,5,12,0,0,0,0,0,0,0,0,0
Icebox,Okeanos,LEV,harbor,1.17,241,20,17,7,3,71%,143,57%,1,2,-1,0.85,175,7,9,3,-2,50%,109,58%,0,2,-2,1.49,308,13,8,4,5,92%,178,57%,1,0,1,Loss,11,13,24,4,8,12,7,5,12,4,8,12,7,5,12,0,0,0,0,0,0,0,0,0
Icebox,tex,LEV,killjoy,0.79,173,17,18,2,-1,71%,113,43%,3,5,-2,0.53,129,6,10,2,-4,67%,71,36%,1,3,-2,1.04,217,11,8,0,3,75%,155,50%,2,2,0,Loss,11,13,24,4,8,12,7,5,12,4,8,12,7,5,12,0,0,0,0,0,0,0,0,0
Icebox,Sato,LEV,jett,0.68,164,14,19,3,-5,58%,106,28%,3,6,-3,0.7,169,7,11,2,-4,58%,119,36%,0,3,-3,0.66,161,7,8,1,-1,58%,94,18%,3,3,0,Loss,11,13,24,4,8,12,7,5,12,4,8,12,7,5,12,0,0,0,0,0,0,0,0,0
Icebox,C0M,LEV,sova,0.48,129,11,21,3,-10,54%,97,25%,1,2,-1,0.22,75,2,11,1,-9,33%,55,13%,0,2,-2,0.74,184,9,10,2,-1,75%,140,30%,1,0,1,Loss,11,13,24,4,8,12,7,5,12,4,8,12,7,5,12,0,0,0,0,0,0,0,0,0
Icebox,pANcada,LOUD,viper,1.54,319,28,16,5,12,79%,205,45%,3,0,3,1.53,317,14,9,2,5,75%,202,56%,1,0,1,1.55,321,14,7,3,7,83%,208,35%,2,0,2,Win,13,11,24,5,7,12,8,4,12,5,7,12,8,4,12,0,0,0,0,0,0,0,0,0
Icebox,lukxo,LOUD,omen,1.17,243,21,17,2,4,79%,151,30%,7,2,5,0.97,178,8,9,0,-1,67%,119,30%,2,2,0,1.37,308,13,8,2,5,92%,183,29%,5,0,5,Win,13,11,24,5,7,12,8,4,12,5,7,12,8,4,12,0,0,0,0,0,0,0,0,0
Icebox,Virtyy,LOUD,jett,0.97,201,17,15,5,2,79%,127,23%,3,4,-1,0.53,164,6,11,2,-5,58%,107,29%,0,3,-3,1.41,239,11,4,3,7,100%,147,17%,3,1,2,Win,13,11,24,5,7,12,8,4,12,5,7,12,8,4,12,0,0,0,0,0,0,0,0,0
Icebox,RobbieBk,LOUD,killjoy,0.68,151,13,18,1,-5,54%,106,28%,2,0,2,0.8,196,8,11,0,-3,50%,133,26%,2,0,2,0.57,108,5,7,1,-2,58%,78,33%,0,0,0,Win,13,11,24,5,7,12,8,4,12,5,7,12,8,4,12,0,0,0,0,0,0,0,0,0
Icebox,cauanzin,LOUD,sova,0.62,134,10,17,8,-7,63%,94,17%,1,2,-1,0.51,105,4,9,3,-5,42%,80,13%,0,2,-2,0.73,164,6,8,5,-2,83%,109,20%,1,0,1,Win,13,11,24,5,7,12,8,4,12,5,7,12,8,4,12,0,0,0,0,0,0,0,0,0
Sunset,supamen,EG,omen,1.01,159,13,14,6,-1,60%,89,41%,1,2,-1,1.09,141,7,7,6,0,67%,74,55%,1,1,0,0.88,186,6,7,0,-1,50%,112,31%,0,1,-1,Loss,7,13,20,6,6,12,1,7,8,6,6,12,1,7,8,0,0,0,0,0,0,0,0,0
Sunset,icy,EG,cypher,0.9,189,14,15,1,-1,65%,139,35%,1,0,1,1.44,259,12,7,1,5,92%,190,48%,1,0,1,0.1,85,2,8,0,-6,25%,62,14%,0,0,0,Loss,7,13,20,6,6,12,1,7,8,6,6,12,1,7,8,0,0,0,0,0,0,0,0,0
Sunset,Derrek,EG,sova,0.88,184,13,15,6,-2,65%,124,41%,0,0,0,1.18,211,9,8,6,1,67%,136,37%,0,0,0,0.43,143,4,7,0,-3,63%,105,50%,0,0,0,Loss,7,13,20,6,6,12,1,7,8,6,6,12,1,7,8,0,0,0,0,0,0,0,0,0
Sunset,NaturE,EG,kayo,0.74,195,13,17,8,-4,80%,110,29%,1,2,-1,0.42,116,5,10,4,-5,75%,62,31%,1,1,0,1.23,317,8,7,4,1,88%,180,27%,0,1,-1,Loss,7,13,20,6,6,12,1,7,8,6,6,12,1,7,8,0,0,0,0,0,0,0,0,0
Sunset,yay,EG,jett,0.66,161,9,17,7,-8,55%,115,21%,6,7,-1,0.78,180,6,9,3,-3,58%,119,17%,3,4,-1,0.47,134,3,8,4,-5,50%,110,30%,3,3,0,Loss,7,13,20,6,6,12,1,7,8,6,6,12,1,7,8,0,0,0,0,0,0,0,0,0
Sunset,spike,2G,neon,1.79,365,27,11,3,16,80%,237,31%,3,3,0,1.46,291,10,4,1,6,88%,170,23%,0,0,0,2.01,415,17,7,2,10,75%,282,35%,3,3,0,Win,13,7,20,7,1,8,6,6,12,7,1,8,6,6,12,0,0,0,0,0,0,0,0,0
Sunset,lz,2G,omen,1.49,257,18,11,11,7,80%,155,43%,4,3,1,1.7,273,8,4,4,4,88%,170,43%,3,1,2,1.34,248,10,7,7,3,75%,146,43%,1,2,-1,Win,13,7,20,7,1,8,6,6,12,7,1,8,6,6,12,0,0,0,0,0,0,0,0,0
Sunset,gobera,2G,breach,1.02,190,12,14,13,-2,75%,127,30%,3,0,3,1.93,336,9,4,6,5,100%,227,33%,2,0,2,0.41,93,3,10,7,-7,58%,61,23%,1,0,1,Win,13,7,20,7,1,8,6,6,12,7,1,8,6,6,12,0,0,0,0,0,0,0,0,0
Sunset,silentzz,2G,cypher,0.83,158,13,12,1,1,70%,106,57%,1,2,-1,0.37,115,4,6,0,-2,63%,86,50%,0,2,-2,1.14,187,9,6,1,3,75%,120,60%,1,0,1,Win,13,7,20,7,1,8,6,6,12,7,1,8,6,6,12,0,0,0,0,0,0,0,0,0
Sunset,pryze,2G,sova,0.65,108,8,14,5,-6,70%,75,15%,0,1,-1,1.11,177,6,5,2,1,100%,116,12%,0,0,0,0.34,63,2,9,3,-7,50%,47,20%,0,1,-1,Win,13,7,20,7,1,8,6,6,12,7,1,8,6,6,12,0,0,0,0,0,0,0,0,0
Lotus,Derrek,EG,chamber,1.59,350,30,15,4,15,79%,242,31%,3,2,1,1.75,424,18,8,3,10,83%,282,27%,2,1,1,1.43,277,12,7,1,5,75%,202,39%,1,1,0,Win,13,11,24,7,5,12,6,6,12,7,5,12,6,6,12,0,0,0,0,0,0,0,0,0
Lotus,icy,EG,raze,1.27,224,20,13,3,7,71%,129,20%,4,2,2,1.3,214,10,6,2,4,75%,123,13%,2,0,2,1.24,235,10,7,1,3,67%,135,31%,2,2,0,Win,13,11,24,7,5,12,6,6,12,7,5,12,6,6,12,0,0,0,0,0,0,0,0,0
Lotus,supamen,EG,viper,0.95,138,10,12,6,-2,67%,98,19%,3,3,0,0.76,89,3,5,1,-2,67%,60,0%,1,2,-1,1.14,188,7,7,5,0,67%,137,29%,2,1,1,Win,13,11,24,7,5,12,6,6,12,7,5,12,6,6,12,0,0,0,0,0,0,0,0,0
Lotus,yay,EG,clove,0.74,204,17,19,8,-2,71%,141,30%,1,3,-2,0.79,211,8,9,3,-1,67%,147,22%,0,2,-2,0.69,198,9,10,5,-1,75%,135,47%,1,1,0,Win,13,11,24,7,5,12,6,6,12,7,5,12,6,6,12,0,0,0,0,0,0,0,0,0
Lotus,NaturE,EG,fade,0.62,102,8,16,11,-8,63%,66,18%,0,3,-3,0.7,86,3,7,7,-4,67%,64,25%,0,2,-2,0.54,120,5,9,4,-4,58%,68,14%,0,1,-1,Win,13,11,24,7,5,12,6,6,12,7,5,12,6,6,12,0,0,0,0,0,0,0,0,0
Lotus,lz,2G,omen,1.13,216,16,16,13,0,63%,138,45%,5,5,0,1,195,7,8,8,-1,67%,121,26%,1,3,-2,1.26,239,9,8,5,1,58%,156,73%,4,2,2,Loss,11,13,24,6,6,12,5,7,12,6,6,12,5,7,12,0,0,0,0,0,0,0,0,0
Lotus,pryze,2G,fade,1.11,218,18,17,9,1,67%,149,19%,0,1,-1,0.85,174,7,9,5,-2,67%,130,22%,0,1,-1,1.38,263,11,8,4,3,67%,168,17%,0,0,0,Loss,11,13,24,6,6,12,5,7,12,6,6,12,5,7,12,0,0,0,0,0,0,0,0,0
Lotus,spike,2G,neon,1.04,225,19,18,2,1,54%,150,20%,6,2,4,1.45,284,12,8,2,4,67%,183,19%,3,0,3,0.63,168,7,10,0,-3,42%,117,24%,3,2,1,Loss,11,13,24,6,6,12,5,7,12,6,6,12,5,7,12,0,0,0,0,0,0,0,0,0
Lotus,silentzz,2G,cypher,0.93,159,13,18,5,-5,58%,105,35%,1,2,-1,1.17,220,9,9,3,0,67%,135,64%,1,1,0,0.68,98,4,9,2,-5,50%,75,17%,0,1,-1,Loss,11,13,24,6,6,12,5,7,12,6,6,12,5,7,12,0,0,0,0,0,0,0,0,0
Lotus,gobera,2G,breach,0.83,119,9,16,13,-7,75%,80,24%,1,1,0,0.75,125,5,9,6,-4,75%,82,20%,1,1,0,0.9,114,4,7,7,-3,75%,78,30%,0,0,0,Loss,11,13,24,6,6,12,5,7,12,6,6,12,5,7,12,0,0,0,0,0,0,0,0,0
Ascent,Derrek,EG,sova,1.55,243,18,12,7,6,55%,177,27%,1,2,-1,1.79,267,11,7,2,4,50%,185,48%,0,1,-1,1.25,216,7,5,5,2,60%,167,16%,1,1,0,Win,13,9,22,5,7,12,8,2,10,5,7,12,8,2,10,0,0,0,0,0,0,0,0,0
Ascent,yay,EG,jett,1.19,230,19,15,3,4,64%,146,30%,4,7,-3,0.5,122,5,10,1,-5,42%,80,50%,1,6,-5,2.01,362,14,5,2,9,90%,224,22%,3,1,2,Win,13,9,22,5,7,12,8,2,10,5,7,12,8,2,10,0,0,0,0,0,0,0,0,0
Ascent,NaturE,EG,kayo,1.15,230,17,15,12,2,82%,156,29%,2,1,1,0.83,168,6,10,6,-4,67%,121,32%,0,0,0,1.54,307,11,5,6,6,100%,198,27%,2,1,1,Win,13,9,22,5,7,12,8,2,10,5,7,12,8,2,10,0,0,0,0,0,0,0,0,0
Ascent,icy,EG,cypher,0.8,109,8,12,6,-4,64%,68,47%,0,1,-1,0.58,131,5,10,2,-5,50%,86,60%,0,1,-1,1.07,83,3,2,4,1,80%,46,29%,0,0,0,Win,13,9,22,5,7,12,8,2,10,5,7,12,8,2,10,0,0,0,0,0,0,0,0,0
Ascent,supamen,EG,omen,0.75,152,11,15,6,-4,73%,95,54%,2,2,0,0.45,103,4,9,2,-5,67%,54,71%,1,2,-1,1.11,213,7,6,4,1,80%,144,47%,1,0,1,Win,13,9,22,5,7,12,8,2,10,5,7,12,8,2,10,0,0,0,0,0,0,0,0,0
Ascent,silentzz,2G,jett,1.69,311,26,11,1,15,77%,190,28%,7,1,6,0.8,194,7,8,0,-1,50%,138,40%,0,1,-1,2.44,409,19,3,1,16,100%,233,19%,7,0,7,Loss,9,13,22,2,8,10,7,5,12,2,8,10,7,5,12,0,0,0,0,0,0,0,0,0
Ascent,spike,2G,kayo,1.01,187,14,15,13,-1,73%,107,18%,1,2,-1,1.01,178,6,8,7,-2,70%,101,17%,1,2,-1,1.01,196,8,7,6,1,75%,113,19%,0,0,0,Loss,9,13,22,2,8,10,7,5,12,2,8,10,7,5,12,0,0,0,0,0,0,0,0,0
Ascent,pryze,2G,sova,0.89,188,14,15,5,-1,68%,125,17%,2,3,-1,0.75,175,6,8,3,-2,70%,124,14%,0,2,-2,1,199,8,7,2,1,67%,126,19%,2,1,1,Loss,9,13,22,2,8,10,7,5,12,2,8,10,7,5,12,0,0,0,0,0,0,0,0,0
Ascent,lz,2G,omen,0.79,153,11,15,11,-4,77%,94,35%,3,0,3,0.57,119,3,9,5,-6,70%,75,27%,2,0,2,0.98,182,8,6,6,2,83%,110,40%,1,0,1,Loss,9,13,22,2,8,10,7,5,12,2,8,10,7,5,12,0,0,0,0,0,0,0,0,0
Ascent,gobera,2G,cypher,0.2,66,4,17,4,-13,45%,51,4%,0,3,-3,0.09,44,1,9,2,-8,40%,31,0%,0,2,-2,0.3,85,3,8,2,-5,50%,68,5%,0,1,-1,Loss,9,13,22,2,8,10,7,5,12,2,8,10,7,5,12,0,0,0,0,0,0,0,0,0
Corrode,aspas,MIBR,raze,1.32,221,17,11,2,6,64%,150,12%,5,3,2,0.68,145,5,7,0,-2,50%,95,33%,1,2,-1,1.85,286,12,4,2,8,75%,195,3%,4,1,3,Win,13,9,22,5,5,10,8,4,12,5,5,10,8,4,12,0,0,0,0,0,0,0,0,0
Corrode,Verno,MIBR,fade,1.18,167,12,10,5,2,73%,114,17%,2,0,2,1.61,222,8,4,1,4,80%,155,28%,1,0,1,0.82,122,4,6,4,-2,67%,80,7%,1,0,1,Win,13,9,22,5,5,10,8,4,12,5,5,10,8,4,12,0,0,0,0,0,0,0,0,0
Corrode,xenom,MIBR,astra,1.08,146,10,10,14,0,82%,99,26%,2,1,1,1,137,4,5,4,-1,70%,81,12%,0,0,0,1.15,155,6,5,10,1,92%,114,41%,2,1,1,Win,13,9,22,5,5,10,8,4,12,5,5,10,8,4,12,0,0,0,0,0,0,0,0,0
